"","taxa","kingdom","phylum","class","order","family","genus","closest.species","phenotype"
"109","C3R10","Bacteria","Firmicutes","Bacilli","Bacillales","Anaerobacillaceae_A","Anaerobacillus_A","","auxo"
"158","F3R11","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Marinobacter","Marinobacter","auxo"
"49","A2R20","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Marinobacter","","auxo"
"178","I2M14","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Marinobacter","","auxo"
"169","G3M07","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"93","C2M11","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"94","C2M19","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"96","C2R07","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"106","C3R04","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"144","F1R02","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"161","G1M14","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Colwellia","","auxo"
"67","B2R08","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella","auxo"
"126","D3R04","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella","auxo"
"99","C2R11","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella","auxo"
"111","C3R14","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella","auxo"
"177","I2M11","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","UBA7957","","auxo"
