"variable" "rate" "dilution" "log_dilution" "amendment" "auxo" "strain" "kingdom" "phylum" "class" "order" "family" "genus" "order_abbrev" "strain_amendment" "min_strain" "rate_norm" "max_strain"
"1" "A2" 0.0358146030501102 2.96e-05 -4.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.871828081729763 0.0409903140002897
"2" "A3" 0.0388634265914011 2.96e-05 -4.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.94620720313072 0.0409903140002897
"3" "A4" 0.0396208767931411 2.96e-05 -4.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.96468596378951 0.0409903140002897
"4" "A5" 0.0483542371711615 2.96e-05 -4.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.941670940969259 0.0512523175395949
"5" "A6" 0.0464408543558874 2.96e-05 -4.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.904338330325927 0.0512523175395949
"6" "A7" 0.0475372426156939 2.96e-05 -4.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.925730304629518 0.0512523175395949
"7" "B2" 0.0394583920113303 2.96e-06 -5.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.960721983864651 0.0409903140002897
"8" "B3" 0.0410684102260267 2.96e-06 -5.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 1 0.0409903140002897
"9" "B5" 0.0482551015513946 2.96e-06 -5.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.939736674880895 0.0512523175395949
"10" "B6" 0.0489380840857755 2.96e-06 -5.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.953062560756266 0.0512523175395949
"11" "B7" 0.0490399297664948 2.96e-06 -5.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.95504970369162 0.0512523175395949
"12" "C2" 0.0410054100462431 2.96e-07 -6.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.998463047153453 0.0409903140002897
"13" "C3" 0.0394146317008434 2.96e-07 -6.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.959654407010115 0.0409903140002897
"14" "C4" 0.0378130288220406 2.96e-07 -6.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.920581691470744 0.0409903140002897
"15" "C5" 0.0513437366263908 2.96e-07 -6.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 1 0.0512523175395949
"16" "C6" 0.0485833873081045 2.96e-07 -6.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.946141960972715 0.0512523175395949
