Authors,Year,Vitamin,Mean_Total_pM,Mean_Total_M,Depth_max_60m,Location,Type,Link,Notes
Lewin,1954,B12,7.4,7.4E-12,Not recorded.,,Dissolved,,
Cowey,1956,B12,8.1,8.1E-12,Not recorded.,,Dissolved,,
Daisley and Disher,1958,B12,0.37,3.7E-13,20 m,,Dissolved,,
Vishnias and Riley,1961,B12,8,8E-12,"""Surface""",,Dissolved,,
Menzel and Spaeth,1962,B12,0.04,4E-14,0 m,,Dissolved,,
Carlucci and Silbernagel,1966,B12,0.3,3E-13,60 m,,Dissolved,,
Fiala and Oriol,1984,B12,1.35,1.35E-12,0-20 m,,Dissolved,,
Okbamichael and Sañudo - Wilhemy,2004,B12,14,1.4E-11,“Surface”,,Dissolved,,
Sañudo - Wilhelmy et al.,2006,B12,40,4E-11,Not recorded.,,Dissolved,,
Panzeca et al.,2008,B12,1.3,1.3E-12,“Surface”,,Dissolved,,
Panzeca et al.,2009,B12,5,5E-12,All other locations than LIS “Deep” were 2 m.,,Dissolved,,
Koch et al.,2011,B12,5,5E-12,“Near surface”,,Dissolved,,
Suárez-Suárez et al.,2011,B12,50,5E-11,Not recorded.,,Dissolved,,
Koch et al.,2012,B12,20,2E-11,<2 m,,Dissolved,,
Koch et al.,2013,B12,20,2E-11,“low mean water depth”,,Dissolved,,
Bonnet et al.,2013,B12,3,3E-12,“Surface”,,Dissolved,,
Heal et al.,2014,B12,5,5E-12,“Surface”,,Dissolved,https://doi.org/10.1002/rcm.7040,
Heal et al.,2014,B1,1.5,1.5E-12,“Surface”,,Dissolved,https://doi.org/10.1002/rcm.7040,
Heal et al.,2014,B7,16.9,1.69E-11,“Surface”,,Dissolved,https://doi.org/10.1002/rcm.7040,
Cohen et al.,2017,B12,0.215,2.15E-13,5 m,,Dissolved,,
Suffridge et al.,2017,B1,218,2.18E-10,3 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011, Includes mono and pyrophosphate.
Suffridge et al.,2017,B1,71.75,7.175E-11,3 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011, Includes mono and pyrophosphate.
Suffridge et al.,2017,B1_pyr,2.53,2.53E-12,3 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B1_pyr,5.91,5.91E-12,3 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B7,679,6.79E-10,3 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B7,8.22,8.22E-12,3 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B12,19.5,1.95E-11,3 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011,Total of all forms measured. 
Suffridge et al.,2017,B12,7.4,7.4E-12,3 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011,Total of all forms measured. 
Suffridge et al.,2017,B1,587,5.87E-10,50 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011, Includes mono and pyrophosphate.
Suffridge et al.,2017,B1,92.03,9.203E-11,50 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011, Includes mono and pyrophosphate.
Suffridge et al.,2017,B1_pyr,28.3,2.83E-11,50 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B1_pyr,21.7,2.17E-11,50 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B7,629,6.29E-10,50 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B7,8.56,8.56E-12,50 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B12,10.86,1.086E-11,50 m,Eastern Atlantic,Dissolved,https://doi.org/10.3389/fmars.2017.00011,Total of all forms measured. 
Suffridge et al.,2017,B12,13.68,1.368E-11,50 m,Eastern Atlantic,Particulate,https://doi.org/10.3389/fmars.2017.00011,Total of all forms measured. 
Suffridge et al.,2017,B1,654.6,6.546E-10,3 m,California coast (SPOT),Dissolved,https://doi.org/10.3389/fmars.2017.00011, Includes mono and pyrophosphate.
Suffridge et al.,2017,B1_pyr,40.8,4.08E-11,3 m,California coast (SPOT),Dissolved,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B7,31.9,3.19E-11,3 m,California coast (SPOT),Dissolved,https://doi.org/10.3389/fmars.2017.00011,
Suffridge et al.,2017,B12,51.3,5.13E-11,3 m,California coast (SPOT),Dissolved,https://doi.org/10.3389/fmars.2017.00011,Total of all forms measured. 
Suffridge et al,2018,B1,24.18,2.418E-11,3,Mediterranean Sea-Atlantic Ocean cruise transect (2),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,1.73,1.73E-12,25,Mediterranean Sea-Atlantic Ocean cruise transect (2),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,23.83,2.383E-11,3,Mediterranean Sea-Atlantic Ocean cruise transect (4),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,21.00,2.1E-11,50,Mediterranean Sea-Atlantic Ocean cruise transect (4),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,28.70,2.87E-11,3,Mediterranean Sea-Atlantic Ocean cruise transect (6),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,339.51,3.3951E-10,50,Mediterranean Sea-Atlantic Ocean cruise transect (6),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,242.35,2.4235E-10,3,Mediterranean Sea-Atlantic Ocean cruise transect (9),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,214.56,2.1456E-10,50,Mediterranean Sea-Atlantic Ocean cruise transect (9),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,16.56,1.656E-11,3,Mediterranean Sea-Atlantic Ocean cruise transect (12),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
Suffridge et al,2018,B1,16.06,1.606E-11,50,Mediterranean Sea-Atlantic Ocean cruise transect (12),Dissolved,https://doi.org/10.1029/2018JG004554, Includes mono and pyrophosphate.
